Country,Rank,US$,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Average height in general,Average male height,Average female height,Diff
Afghanistan,181,499.0,38928346.0,2.33 %,886592.0,60.0,652860.0,-62920.0,4.6,18,25 %,0.50 %,162.3 cm (5 ft 4 in),168.5,156.1,0.07359050445103861
Albania,93,4898.0,2877797.0,-0.11 %,-3120.0,105.0,27400.0,-14000.0,1.6,36,63 %,0.04 %,168.1 cm (5 ft 6 in),174.1,162.2,0.06835152211372778
Algeria,121,3331.0,43851044.0,1.85 %,797990.0,18.0,2381740.0,-10000.0,3.1,29,73 %,0.56 %,168.7 cm (5 ft 6 1⁄2 in),175.0,162.3,0.07257142857142851
American Samoa,,,55191.0,-0.22 %,-121.0,276.0,200.0,,N.A.,N.A.,88 %,0.00 %,,,,
American Samoa (US),,,,,,,,,,,,,172.3 cm (5 ft 8 in),177.1,167.6,0.053642010163749296
Andorra,,,77265.0,0.16 %,123.0,164.0,470.0,,N.A.,N.A.,88 %,0.00 %,172.2 cm (5 ft 8 in),178.8,165.5,0.07438478747203585
Angola,139,2021.0,32866272.0,3.27 %,1040977.0,26.0,1246700.0,6413.0,5.6,17,67 %,0.42 %,163.3 cm (5 ft 4 1⁄2 in),168.5,158.1,0.061721068249258194
Anguilla,,,15003.0,0.90 %,134.0,167.0,90.0,,N.A.,N.A.,N.A.,0.00 %,,,,
Antigua and Barbuda,51,14159.0,97929.0,0.84 %,811.0,223.0,440.0,0.0,2.0,34,26 %,0.00 %,172.3 cm (5 ft 8 in),178.8,165.7,0.07326621923937372
Argentina,69,8433.0,45195774.0,0.93 %,415097.0,17.0,2736690.0,4800.0,2.3,32,93 %,0.58 %,168.0 cm (5 ft 6 in),174.8,161.2,0.07780320366132736
Armenia,98,4315.0,2963243.0,0.19 %,5512.0,104.0,28470.0,-4998.0,1.8,35,63 %,0.04 %,166.8 cm (5 ft 5 1⁄2 in),173.7,159.9,0.07944732297063894
Aruba,—,20310.0,106766.0,0.43 %,452.0,593.0,180.0,201.0,1.9,41,44 %,0.00 %,,,,
Australia,10,51885.0,25499884.0,1.18 %,296686.0,3.0,7682300.0,158246.0,1.8,38,86 %,0.33 %,171.7 cm (5 ft 7 1⁄2 in),178.8,164.7,0.07885906040268469
Austria,13,48634.0,9006398.0,0.57 %,51296.0,109.0,82409.0,65000.0,1.5,43,57 %,0.12 %,172.7 cm (5 ft 8 in),178.5,166.9,0.06498599439775907
Azerbaijan,95,4721.0,10139177.0,0.91 %,91459.0,123.0,82658.0,1200.0,2.1,32,56 %,0.13 %,167.7 cm (5 ft 6 in),174.0,161.4,0.07241379310344824
Bahamas,,,393244.0,0.97 %,3762.0,39.0,10010.0,1000.0,1.8,32,86 %,0.01 %,168.9 cm (5 ft 6 1⁄2 in),174.4,163.5,0.06250000000000003
"Bahamas, The",27,30027.0,,,,,,,,,,,,,,
Bahrain,34,22878.0,1701575.0,3.68 %,60403.0,2239.0,760.0,47800.0,2.0,32,89 %,0.02 %,165.5 cm (5 ft 5 in),172.8,158.3,0.08391203703703703
Bangladesh,141,1888.0,164689383.0,1.01 %,1643222.0,1265.0,130170.0,-369501.0,2.1,28,39 %,2.11 %,158.7 cm (5 ft 2 1⁄2 in),165.1,152.4,0.07692307692307686
Barbados,44,16082.0,287375.0,0.12 %,350.0,668.0,430.0,-79.0,1.6,40,31 %,0.00 %,171.3 cm (5 ft 7 1⁄2 in),177.0,165.7,0.06384180790960459
Belarus,84,6134.0,9449323.0,-0.03 %,-3088.0,47.0,202910.0,8730.0,1.7,40,79 %,0.12 %,172.8 cm (5 ft 8 in),178.7,166.9,0.06603245663122542
Belgium,16,43814.0,11589623.0,0.44 %,50295.0,383.0,30280.0,48000.0,1.7,42,98 %,0.15 %,171.2 cm (5 ft 7 1⁄2 in),179.1,163.4,0.08766052484645444
Belize,112,3734.0,397628.0,1.86 %,7275.0,17.0,22810.0,1200.0,2.3,25,46 %,0.01 %,164.3 cm (5 ft 4 1⁄2 in),170.5,158.1,0.07272727272727277
Benin,155,1259.0,12123200.0,2.73 %,322049.0,108.0,112760.0,-2000.0,4.9,19,48 %,0.16 %,163.4 cm (5 ft 4 1⁄2 in),168.4,158.4,0.05938242280285035
Bermuda,,,62278.0,-0.36 %,-228.0,1246.0,50.0,,N.A.,N.A.,97 %,0.00 %,,,,
Bermuda (UK),,,,,,,,,,,,,172.9 cm (5 ft 8 in),179.7,166.1,0.07568169170840287
Bhutan,116,3431.0,771608.0,1.12 %,8516.0,20.0,38117.0,320.0,2.0,28,46 %,0.01 %,161.1 cm (5 ft 3 1⁄2 in),167.0,155.2,0.0706586826347306
Bolivia,122,3322.0,11673021.0,1.39 %,159921.0,11.0,1083300.0,-9504.0,2.8,26,69 %,0.15 %,161.8 cm (5 ft 3 1⁄2 in),168.1,155.6,0.07436049970255801
Bosnia and Herzegovina,87,5762.0,3280819.0,-0.61 %,-20181.0,64.0,51000.0,-21585.0,1.3,43,52 %,0.04 %,175.0 cm (5 ft 9 in),182.5,167.5,0.0821917808219178
Botswana,82,6558.0,2351627.0,2.08 %,47930.0,4.0,566730.0,3000.0,2.9,24,73 %,0.03 %,167.6 cm (5 ft 6 in),173.2,162.1,0.06408775981524246
Brazil,83,6450.0,212559417.0,0.72 %,1509890.0,25.0,8358140.0,21200.0,1.7,33,88 %,2.73 %,169.1 cm (5 ft 6 1⁄2 in),175.7,162.4,0.07569721115537839
British Virgin Islands,,,30231.0,0.67 %,201.0,202.0,150.0,,N.A.,N.A.,52 %,0.00 %,,,,
Brunei,32,23117.0,437479.0,0.97 %,4194.0,83.0,5270.0,0.0,1.8,32,80 %,0.01 %,160.6 cm (5 ft 3 in),166.3,154.9,0.06855081178592907
Bulgaria,62,9826.0,6948445.0,-0.74 %,-51674.0,64.0,108560.0,-4800.0,1.6,45,76 %,0.09 %,169.4 cm (5 ft 6 1⁄2 in),174.2,164.6,0.05510907003444314
Burkina Faso,168,769.0,20903273.0,2.86 %,581895.0,76.0,273600.0,-25000.0,5.2,18,31 %,0.27 %,166.6 cm (5 ft 5 1⁄2 in),171.9,161.3,0.0616637579988365
Burundi,187,264.0,11890784.0,3.12 %,360204.0,463.0,25680.0,2001.0,5.5,17,14 %,0.15 %,161.2 cm (5 ft 3 1⁄2 in),167.3,155.1,0.07292289300657512
Cabo Verde,,,555987.0,1.10 %,6052.0,138.0,4030.0,-1342.0,2.3,28,68 %,0.01 %,,,,
Cambodia,148,1572.0,16718965.0,1.41 %,232423.0,95.0,176520.0,-30000.0,2.5,26,24 %,0.21 %,160.0 cm (5 ft 3 in),165.3,154.7,0.06412583182093178
Cameroon,149,1493.0,26545863.0,2.59 %,669483.0,56.0,472710.0,-4800.0,4.6,19,56 %,0.34 %,166.3 cm (5 ft 5 1⁄2 in),172.1,160.4,0.06798373038930848
Canada,17,42080.0,37742154.0,0.89 %,331107.0,4.0,9093510.0,242032.0,1.5,41,81 %,0.48 %,171.7 cm (5 ft 7 1⁄2 in),178.7,164.7,0.07834359261331841
Cape Verde,120,3358.0,,,,,,,,,,,169.7 cm (5 ft 7 in),176.3,163.1,0.07487237663074314
Caribbean Netherlands,,,26223.0,0.94 %,244.0,80.0,328.0,,N.A.,N.A.,75 %,0.00 %,,,,
Cayman Islands,,,65722.0,1.19 %,774.0,274.0,240.0,,N.A.,N.A.,97 %,0.00 %,,,,
Central African Republic,182,480.0,4829767.0,1.78 %,84582.0,8.0,622980.0,-40000.0,4.8,18,43 %,0.06 %,164.3 cm (5 ft 4 1⁄2 in),169.0,159.7,0.05502958579881664
Chad,176,640.0,16425864.0,3.00 %,478988.0,13.0,1259200.0,2000.0,5.8,17,23 %,0.21 %,167.0 cm (5 ft 5 1⁄2 in),171.8,162.1,0.05646100116414445
Channel Islands,,,173863.0,0.93 %,1604.0,915.0,190.0,1351.0,1.5,43,30 %,0.00 %,,,,
Chile,55,12612.0,19116201.0,0.87 %,164163.0,26.0,743532.0,111708.0,1.7,35,85 %,0.25 %,166.1 cm (5 ft 5 1⁄2 in),172.9,159.4,0.07807981492192018
China,59,10839.0,1439323776.0,0.39 %,5540090.0,153.0,9388211.0,-348399.0,1.7,38,61 %,18.47 %,169.6 cm (5 ft 7 in),175.7,163.5,0.06943653955606141
Colombia,90,5207.0,50882891.0,1.08 %,543448.0,46.0,1109500.0,204796.0,1.8,31,80 %,0.65 %,164.9 cm (5 ft 5 in),171.9,158.0,0.08086096567771964
Comoros,152,1337.0,869601.0,2.20 %,18715.0,467.0,1861.0,-2000.0,4.2,20,29 %,0.01 %,162.1 cm (5 ft 4 in),167.7,156.5,0.06678592725104347
Congo,,,5518087.0,2.56 %,137579.0,16.0,341500.0,-4000.0,4.5,19,70 %,0.07 %,,,,
"Congo, Democratic Republic of the",183,457.0,,,,,,,,,,,,,,
"Congo, Republic of the",136,2128.0,,,,,,,,,,,,,,
Cook Islands,,,17564.0,0.09 %,16.0,73.0,240.0,,N.A.,N.A.,75 %,0.00 %,,,,
Cook Islands (NZ),,,,,,,,,,,,,172.8 cm (5 ft 8 in),178.3,167.3,0.061693774537296686
Costa Rica,58,11629.0,5094118.0,0.92 %,46557.0,100.0,51060.0,4200.0,1.8,33,80 %,0.07 %,167.2 cm (5 ft 6 in),174.0,160.4,0.07816091954022986
Croatia,53,14033.0,4105267.0,-0.61 %,-25037.0,73.0,55960.0,-8001.0,1.4,44,58 %,0.05 %,173.8 cm (5 ft 8 1⁄2 in),180.8,166.8,0.07743362831858407
Cuba,,,11326616.0,-0.06 %,-6867.0,106.0,106440.0,-14400.0,1.6,42,78 %,0.15 %,166.8 cm (5 ft 5 1⁄2 in),173.6,160.1,0.07776497695852534
Curaçao,,,164093.0,0.41 %,669.0,370.0,444.0,515.0,1.8,42,89 %,0.00 %,,,,
Cyprus,30,26240.0,1207359.0,0.73 %,8784.0,131.0,9240.0,5000.0,1.3,37,67 %,0.02 %,166.7 cm (5 ft 5 1⁄2 in),172.7,160.6,0.0700636942675159
Czech Republic,35,22627.0,,,,,,,,,,,174.6 cm (5 ft 8 1⁄2 in),181.2,168.0,0.07284768211920524
Czech Republic (Czechia),,,10708981.0,0.18 %,19772.0,139.0,77240.0,22011.0,1.6,43,74 %,0.14 %,,,,
Côte d'Ivoire,133,2281.0,26378274.0,2.57 %,661730.0,83.0,318000.0,-8000.0,4.7,19,51 %,0.34 %,,,,
DR Congo,,,89561403.0,3.19 %,2770836.0,40.0,2267050.0,23861.0,6.0,17,46 %,1.15 %,,,,
Democratic Republic of the Congo,,,,,,,,,,,,,162.4 cm (5 ft 4 in),168.6,156.3,0.07295373665480417
Denmark,7,58439.0,5792202.0,0.35 %,20326.0,137.0,42430.0,15200.0,1.8,42,88 %,0.07 %,175.7 cm (5 ft 9 in),181.9,169.5,0.0681693238042881
Djibouti,126,3074.0,988000.0,1.48 %,14440.0,43.0,23180.0,900.0,2.8,27,79 %,0.01 %,165.3 cm (5 ft 5 in),170.8,159.8,0.06440281030444965
Dominica,74,7709.0,71986.0,0.25 %,178.0,96.0,750.0,,N.A.,N.A.,74 %,0.00 %,173.5 cm (5 ft 8 1⁄2 in),180.2,166.9,0.07380688124306317
Dominican Republic,76,7445.0,10847910.0,1.01 %,108952.0,225.0,48320.0,-30000.0,2.4,28,85 %,0.14 %,167.9 cm (5 ft 6 in),174.6,161.2,0.07674684994272626
East Timor,150,1456.0,,,,,,,,,,,,,,
Ecuador,88,5316.0,17643054.0,1.55 %,269392.0,71.0,248360.0,36400.0,2.4,28,63 %,0.23 %,161.3 cm (5 ft 3 1⁄2 in),167.3,155.2,0.07232516437537372
Egypt,114,3561.0,102334404.0,1.94 %,1946331.0,103.0,995450.0,-38033.0,3.3,25,43 %,1.31 %,167.7 cm (5 ft 6 in),174.6,160.9,0.07846506300114542
El Salvador,111,3821.0,6486205.0,0.51 %,32652.0,313.0,20720.0,-40539.0,2.1,28,73 %,0.08 %,163.5 cm (5 ft 4 1⁄2 in),170.7,156.4,0.0837727006444053
Equatorial Guinea,80,7131.0,1402985.0,3.47 %,46999.0,50.0,28050.0,16000.0,4.6,22,73 %,0.02 %,163.1 cm (5 ft 4 in),168.2,158.0,0.06064209274673002
Eritrea,177,585.0,3546421.0,1.41 %,49304.0,35.0,101000.0,-39858.0,4.1,19,63 %,0.05 %,164.1 cm (5 ft 4 1⁄2 in),170.6,157.6,0.07620164126611959
Estonia,33,22986.0,1326535.0,0.07 %,887.0,31.0,42390.0,3911.0,1.6,42,68 %,0.02 %,175.7 cm (5 ft 9 in),182.8,168.7,0.07713347921225396
Eswatini,118,3415.0,1160164.0,1.05 %,12034.0,67.0,17200.0,-8353.0,3.0,21,30 %,0.01 %,164.2 cm (5 ft 4 1⁄2 in),169.4,158.9,0.06198347107438016
Ethiopia,161,974.0,114963588.0,2.57 %,2884858.0,115.0,1000000.0,30000.0,4.3,19,21 %,1.47 %,163.0 cm (5 ft 4 in),168.8,157.2,0.06872037914691956
Faeroe Islands,,,48863.0,0.38 %,185.0,35.0,1396.0,,N.A.,N.A.,43 %,0.00 %,,,,
Falkland Islands,,,3480.0,3.05 %,103.0,0.0,12170.0,,N.A.,N.A.,66 %,0.00 %,,,,
Federated States of Micronesia,,,,,,,,,,,,,164.6 cm (5 ft 5 in),169.6,159.7,0.058372641509434
Fiji,97,4371.0,896445.0,0.73 %,6492.0,49.0,18270.0,-6202.0,2.8,28,59 %,0.01 %,169.1 cm (5 ft 6 1⁄2 in),174.0,164.3,0.05574712643678154
Finland,14,48461.0,5540720.0,0.15 %,8564.0,18.0,303890.0,14000.0,1.5,43,86 %,0.07 %,173.5 cm (5 ft 8 1⁄2 in),180.6,166.5,0.07807308970099665
France,20,39257.0,65273511.0,0.22 %,143783.0,119.0,547557.0,36527.0,1.9,42,82 %,0.84 %,171.5 cm (5 ft 7 1⁄2 in),178.6,164.5,0.0789473684210526
French Guiana,,,298682.0,2.70 %,7850.0,4.0,82200.0,1200.0,3.4,25,87 %,0.00 %,,,,
French Polynesia,,,280908.0,0.58 %,1621.0,77.0,3660.0,-1000.0,2.0,34,64 %,0.00 %,,,,
French Polynesia (France),,,,,,,,,,,,,172.4 cm (5 ft 8 in),178.3,166.5,0.0661805945036456
Gabon,79,7185.0,2225734.0,2.45 %,53155.0,9.0,257670.0,3260.0,4.0,23,87 %,0.03 %,165.3 cm (5 ft 5 in),170.5,160.0,0.06158357771260997
Gambia,,,2416668.0,2.94 %,68962.0,239.0,10120.0,-3087.0,5.3,18,59 %,0.03 %,165.0 cm (5 ft 5 in),168.4,161.7,0.03978622327790984
"Gambia, The",170,746.0,,,,,,,,,,,,,,
Georgia,96,4405.0,3989167.0,-0.19 %,-7598.0,57.0,69490.0,-10000.0,2.1,38,58 %,0.05 %,169.6 cm (5 ft 7 in),176.0,163.2,0.0727272727272728
Germany,15,45466.0,83783942.0,0.32 %,266897.0,240.0,348560.0,543822.0,1.6,46,76 %,1.07 %,173.2 cm (5 ft 8 in),180.3,166.2,0.07820299500831959
Ghana,134,2188.0,31072940.0,2.15 %,655084.0,137.0,227540.0,-10000.0,3.9,22,57 %,0.40 %,164.6 cm (5 ft 5 in),170.3,158.9,0.0669406928948914
Gibraltar,,,33691.0,-0.03 %,-10.0,3369.0,10.0,,N.A.,N.A.,N.A.,0.00 %,,,,
Greece,41,18168.0,10423054.0,-0.48 %,-50401.0,81.0,128900.0,-16000.0,1.3,46,85 %,0.13 %,172.5 cm (5 ft 8 in),179.3,165.8,0.07529280535415504
Greenland,,,56770.0,0.17 %,98.0,0.0,410450.0,,N.A.,N.A.,87 %,0.00 %,,,,
Greenland (Denmark),,,,,,,,,,,,,167.6 cm (5 ft 6 in),173.8,161.4,0.07134637514384352
Grenada,63,9824.0,112523.0,0.46 %,520.0,331.0,340.0,-200.0,2.1,32,35 %,0.00 %,172.3 cm (5 ft 8 in),178.7,166.0,0.07106883044208165
Guadeloupe,,,400124.0,0.02 %,68.0,237.0,1690.0,-1440.0,2.2,44,N.A.,0.01 %,,,,
Guam,,,168775.0,0.89 %,1481.0,313.0,540.0,-506.0,2.3,31,95 %,0.00 %,,,,
Guatemala,100,4240.0,17915568.0,1.90 %,334096.0,167.0,107160.0,-9215.0,2.9,23,52 %,0.23 %,157.6 cm (5 ft 2 in),164.4,150.9,0.08211678832116788
Guinea,159,1019.0,13132795.0,2.83 %,361549.0,53.0,245720.0,-4000.0,4.7,18,39 %,0.17 %,164.7 cm (5 ft 5 in),170.7,158.8,0.06971294669009946
Guinea-Bissau,169,767.0,1968001.0,2.45 %,47079.0,70.0,28120.0,-1399.0,4.5,19,45 %,0.03 %,163.4 cm (5 ft 4 1⁄2 in),168.2,158.7,0.05648038049940547
Guyana,70,8073.0,786552.0,0.48 %,3786.0,4.0,196850.0,-6000.0,2.5,27,27 %,0.01 %,165.9 cm (5 ft 5 1⁄2 in),172.2,159.6,0.07317073170731704
Haiti,172,732.0,11402528.0,1.24 %,139451.0,414.0,27560.0,-35000.0,3.0,24,57 %,0.15 %,166.4 cm (5 ft 5 1⁄2 in),172.2,160.6,0.0673635307781649
Holy See,,,801.0,0.25 %,2.0,2003.0,0.0,,N.A.,N.A.,N.A.,0.00 %,,,,
Honduras,131,2412.0,9904607.0,1.63 %,158490.0,89.0,111890.0,-6800.0,2.5,24,57 %,0.13 %,162.4 cm (5 ft 4 in),169.6,155.2,0.08490566037735853
Hong Kong,—,45176.0,7496981.0,0.82 %,60827.0,7140.0,1050.0,29308.0,1.3,45,N.A.,0.10 %,167.7 cm (5 ft 6 in),174.8,160.6,0.08123569794050352
Hungary,45,15373.0,9660351.0,-0.25 %,-24328.0,107.0,90530.0,6000.0,1.5,43,72 %,0.12 %,169.6 cm (5 ft 7 in),176.6,162.5,0.07984144960362398
Iceland,8,57189.0,341243.0,0.65 %,2212.0,3.0,100250.0,380.0,1.8,37,94 %,0.00 %,175.5 cm (5 ft 9 in),182.1,168.9,0.07248764415156501
India,142,1877.0,1380004385.0,0.99 %,13586631.0,464.0,2973190.0,-532687.0,2.2,28,35 %,17.70 %,160.8 cm (5 ft 3 1⁄2 in),166.5,155.2,0.06786786786786794
Indonesia,108,4038.0,273523615.0,1.07 %,2898047.0,151.0,1811570.0,-98955.0,2.3,30,56 %,3.51 %,160.3 cm (5 ft 3 in),166.3,154.4,0.0715574263379435
Iran,78,7257.0,83992949.0,1.30 %,1079043.0,52.0,1628550.0,-55000.0,2.2,32,76 %,1.08 %,168.4 cm (5 ft 6 1⁄2 in),175.6,161.2,0.08200455580865607
Iraq,95,4438.0,40222493.0,2.32 %,912710.0,93.0,434320.0,7834.0,3.7,21,73 %,0.52 %,166.3 cm (5 ft 5 1⁄2 in),173.8,158.7,0.08688147295742245
Ireland,3,79669.0,4937786.0,1.13 %,55291.0,72.0,68890.0,23604.0,1.8,38,63 %,0.06 %,171.8 cm (5 ft 7 1⁄2 in),179.0,164.5,0.08100558659217877
Isle of Man,,,85033.0,0.53 %,449.0,149.0,570.0,,N.A.,N.A.,53 %,0.00 %,,,,
Israel,19,41560.0,8655535.0,1.60 %,136158.0,400.0,21640.0,10000.0,3.0,30,93 %,0.11 %,169.1 cm (5 ft 6 1⁄2 in),176.0,162.2,0.07840909090909097
Italy,25,30657.0,60461826.0,-0.15 %,-88249.0,206.0,294140.0,148943.0,1.3,47,69 %,0.78 %,168.1 cm (5 ft 6 in),174.4,161.8,0.07224770642201832
Ivory Coast,,,,,,,,,,,,,163.4 cm (5 ft 4 1⁄2 in),168.2,158.7,0.05648038049940547
Jamaica,89,5221.0,2961167.0,0.44 %,12888.0,273.0,10830.0,-11332.0,2.0,31,55 %,0.04 %,170.6 cm (5 ft 7 in),177.0,164.3,0.07175141242937846
Japan,22,39048.0,126476461.0,-0.30 %,-383840.0,347.0,364555.0,71560.0,1.4,48,92 %,1.62 %,165.3 cm (5 ft 5 in),172.1,158.5,0.07902382335851246
Jordan,102,4174.0,10203134.0,1.00 %,101440.0,115.0,88780.0,10220.0,2.8,24,91 %,0.13 %,167.2 cm (5 ft 6 in),174.8,159.5,0.0875286041189932
Kazakhstan,67,8782.0,18776707.0,1.21 %,225280.0,7.0,2699700.0,-18000.0,2.8,31,58 %,0.24 %,168.6 cm (5 ft 6 1⁄2 in),175.5,161.7,0.0786324786324787
Kenya,138,2075.0,53771296.0,2.28 %,1197323.0,94.0,569140.0,-10000.0,3.5,20,28 %,0.69 %,164.9 cm (5 ft 5 in),170.5,159.4,0.06510263929618765
Kiribati,147,1638.0,119449.0,1.57 %,1843.0,147.0,810.0,-800.0,3.6,23,57 %,0.00 %,165.6 cm (5 ft 5 in),170.1,161.0,0.05349794238683125
Kosovo,—,4141.0,,,,,,,,,,,,,,
Kuwait,36,22252.0,4270571.0,1.51 %,63488.0,240.0,17820.0,39520.0,2.1,37,N.A.,0.05 %,167.5 cm (5 ft 6 in),175.0,160.1,0.08514285714285717
Kyrgyzstan,156,1148.0,6524195.0,1.69 %,108345.0,34.0,191800.0,-4000.0,3.0,26,36 %,0.08 %,165.9 cm (5 ft 5 1⁄2 in),171.7,160.2,0.0669772859638905
Laos,130,2567.0,7275560.0,1.48 %,106105.0,32.0,230800.0,-14704.0,2.7,24,36 %,0.09 %,157.9 cm (5 ft 2 in),162.8,153.1,0.05958230958230968
Latvia,42,17230.0,1886198.0,-1.08 %,-20545.0,30.0,62200.0,-14837.0,1.7,44,69 %,0.02 %,175.0 cm (5 ft 9 in),181.2,168.8,0.06843267108167758
