Country,Rank,US$,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Average height in general,Average male height,Average female height,Diff
Lebanon,128,2745.0,6825445.0,-0.44 %,-30268.0,667.0,10230.0,-30012.0,2.1,30,78 %,0.09 %,171.3 cm (5 ft 7 1⁄2 in),179.0,163.7,0.0854748603351956
Lesotho,162,924.0,2142249.0,0.80 %,16981.0,71.0,30360.0,-10047.0,3.2,24,31 %,0.03 %,162.3 cm (5 ft 4 in),167.9,156.7,0.06670637284097687
Liberia,174,654.0,5057681.0,2.44 %,120307.0,53.0,96320.0,-5000.0,4.4,19,53 %,0.06 %,161.0 cm (5 ft 3 1⁄2 in),165.5,156.5,0.054380664652567974
Libya,124,3282.0,6871292.0,1.38 %,93840.0,4.0,1759540.0,-1999.0,2.3,29,78 %,0.09 %,169.5 cm (5 ft 6 1⁄2 in),176.4,162.6,0.07823129251700686
Liechtenstein,,,38128.0,0.29 %,109.0,238.0,160.0,,N.A.,N.A.,15 %,0.00 %,,,,
Lithuania,38,19883.0,2722289.0,-1.35 %,-37338.0,43.0,62674.0,-32780.0,1.7,45,71 %,0.03 %,174.2 cm (5 ft 8 1⁄2 in),180.7,167.6,0.07249584947426671
Luxembourg,1,109602.0,625978.0,1.66 %,10249.0,242.0,2590.0,9741.0,1.5,40,88 %,0.01 %,171.8 cm (5 ft 7 1⁄2 in),178.5,165.1,0.07507002801120452
Macao,,,649335.0,1.39 %,8890.0,21645.0,30.0,5000.0,1.2,39,N.A.,0.01 %,,,,
Macau,—,38769.0,,,,,,,,,,,,,,
Madagascar,180,515.0,27691018.0,2.68 %,721711.0,48.0,581795.0,-1500.0,4.1,20,39 %,0.36 %,159.1 cm (5 ft 2 1⁄2 in),165.2,153.1,0.07324455205811135
Malawi,185,399.0,19129952.0,2.69 %,501205.0,203.0,94280.0,-16053.0,4.3,18,18 %,0.25 %,160.9 cm (5 ft 3 1⁄2 in),165.7,156.1,0.057936028968014454
Malaysia,60,10192.0,32365999.0,1.30 %,416222.0,99.0,328550.0,50000.0,2.0,30,78 %,0.42 %,163.1 cm (5 ft 4 in),169.2,157.1,0.07151300236406616
Maldives,56,12464.0,540544.0,1.81 %,9591.0,1802.0,300.0,11370.0,1.9,30,35 %,0.01 %,161.1 cm (5 ft 3 1⁄2 in),167.9,154.3,0.08100059559261462
Mali,165,899.0,20250833.0,3.02 %,592802.0,17.0,1220190.0,-40000.0,5.9,16,44 %,0.26 %,168.5 cm (5 ft 6 1⁄2 in),175.0,162.0,0.07428571428571429
Malta,28,28469.0,441543.0,0.27 %,1171.0,1380.0,320.0,900.0,1.5,43,93 %,0.01 %,168.7 cm (5 ft 6 1⁄2 in),174.4,163.0,0.06536697247706424
Marshall Islands,106,4071.0,59190.0,0.68 %,399.0,329.0,180.0,,N.A.,N.A.,70 %,0.00 %,160.0 cm (5 ft 3 in),165.3,154.8,0.06352087114337568
Martinique,,,375265.0,-0.08 %,-289.0,354.0,1060.0,-960.0,1.9,47,92 %,0.00 %,,,,
Mauritania,144,1791.0,4649658.0,2.74 %,123962.0,5.0,1030700.0,5000.0,4.6,20,57 %,0.06 %,162.8 cm (5 ft 4 in),165.5,160.1,0.03262839879154082
Mauritius,65,8951.0,1271768.0,0.17 %,2100.0,626.0,2030.0,0.0,1.4,37,41 %,0.02 %,166.0 cm (5 ft 5 1⁄2 in),173.0,158.9,0.08150289017341038
Mayotte,,,272815.0,2.50 %,6665.0,728.0,375.0,0.0,3.7,20,46 %,0.00 %,,,,
Mexico,71,8069.0,128932753.0,1.06 %,1357224.0,66.0,1943950.0,-60000.0,2.1,29,84 %,1.65 %,164.1 cm (5 ft 4 1⁄2 in),170.3,157.9,0.07281268349970643
Micronesia,110,3855.0,548914.0,1.00 %,5428.0,784.0,700.0,-2957.0,2.9,27,68 %,0.01 %,,,,
Moldova,99,4268.0,4033963.0,-0.23 %,-9300.0,123.0,32850.0,-1387.0,1.3,38,43 %,0.05 %,169.3 cm (5 ft 6 1⁄2 in),175.6,163.0,0.071753986332574
Monaco,,,39242.0,0.71 %,278.0,26337.0,1.0,,N.A.,N.A.,N.A.,0.00 %,,,,
Mongolia,109,3990.0,3278290.0,1.65 %,53123.0,2.0,1553560.0,-852.0,2.9,28,67 %,0.04 %,165.3 cm (5 ft 5 in),170.7,159.9,0.063268892794376
Montenegro,72,7933.0,628066.0,0.01 %,79.0,47.0,13450.0,-480.0,1.8,39,68 %,0.01 %,176.6 cm (5 ft 9 1⁄2 in),183.3,170.0,0.07255864702673219
Montserrat,,,4992.0,0.06 %,3.0,50.0,100.0,,N.A.,N.A.,10 %,0.00 %,,,,
Morocco,125,3121.0,36910560.0,1.20 %,438791.0,83.0,446300.0,-51419.0,2.4,30,64 %,0.47 %,168.8 cm (5 ft 6 1⁄2 in),176.4,161.2,0.08616780045351484
Mozambique,184,455.0,31255435.0,2.93 %,889399.0,40.0,786380.0,-5000.0,4.9,18,38 %,0.40 %,159.9 cm (5 ft 3 in),164.3,155.4,0.05416920267802803
Myanmar,153,1333.0,54409800.0,0.67 %,364380.0,83.0,653290.0,-163313.0,2.2,29,31 %,0.70 %,160.7 cm (5 ft 3 1⁄2 in),166.7,154.7,0.07198560287942413
Namibia,107,4052.0,2540905.0,1.86 %,46375.0,3.0,823290.0,-4806.0,3.4,22,55 %,0.03 %,165.0 cm (5 ft 5 in),169.7,160.3,0.05539186800235697
Nauru,66,8867.0,10824.0,0.63 %,68.0,541.0,20.0,,N.A.,N.A.,N.A.,0.00 %,163.7 cm (5 ft 4 1⁄2 in),169.6,157.8,0.06957547169811311
Nepal,157,1116.0,29136808.0,1.85 %,528098.0,203.0,143350.0,41710.0,1.9,25,21 %,0.37 %,158.4 cm (5 ft 2 1⁄2 in),164.4,152.4,0.072992700729927
Netherlands,11,51290.0,17134872.0,0.22 %,37742.0,508.0,33720.0,16000.0,1.7,43,92 %,0.22 %,177.1 cm (5 ft 9 1⁄2 in),183.8,170.4,0.07290533188248098
New Caledonia,,,285498.0,0.97 %,2748.0,16.0,18280.0,502.0,2.0,34,72 %,0.00 %,,,,
New Zealand,23,38675.0,4822233.0,0.82 %,39170.0,18.0,263310.0,14881.0,1.9,38,87 %,0.06 %,171.2 cm (5 ft 7 1⁄2 in),177.7,164.7,0.07315700619020822
Nicaragua,143,1832.0,6624554.0,1.21 %,79052.0,55.0,120340.0,-21272.0,2.4,26,57 %,0.08 %,162.8 cm (5 ft 4 in),169.9,155.6,0.08416715715126552
Niger,178,536.0,24206644.0,3.84 %,895929.0,19.0,1266700.0,4000.0,7.0,15,17 %,0.31 %,165.0 cm (5 ft 5 in),170.3,159.8,0.06165590135055783
Nigeria,135,2149.0,206139589.0,2.58 %,5175990.0,226.0,910770.0,-60000.0,5.4,18,52 %,2.64 %,164.8 cm (5 ft 5 in),171.6,158.1,0.07867132867132867
Niue,,,1626.0,0.68 %,11.0,6.0,260.0,,N.A.,N.A.,46 %,0.00 %,,,,
Niue (NZ),,,,,,,,,,,,,172.1 cm (5 ft 8 in),177.2,167.0,0.05756207674943561
North Korea,,,25778816.0,0.44 %,112655.0,214.0,120410.0,-5403.0,1.9,35,63 %,0.33 %,168.0 cm (5 ft 6 in),174.7,161.2,0.07727532913566114
North Macedonia,85,6019.0,2083374.0,0.00 %,-85.0,83.0,25220.0,-1000.0,1.5,39,59 %,0.03 %,168.7 cm (5 ft 6 1⁄2 in),176.4,160.9,0.08786848072562357
Northern Mariana Islands,,,57559.0,0.60 %,343.0,125.0,460.0,,N.A.,N.A.,88 %,0.00 %,,,,
Norway,4,67989.0,5421241.0,0.79 %,42384.0,15.0,365268.0,28000.0,1.7,40,83 %,0.07 %,173.5 cm (5 ft 8 1⁄2 in),180.5,166.4,0.07811634349030468
Oman,49,14423.0,5106626.0,2.65 %,131640.0,16.0,309500.0,87400.0,2.9,31,87 %,0.07 %,165.1 cm (5 ft 5 in),171.7,158.4,0.07746068724519502
Pakistan,154,1285.0,220892340.0,2.00 %,4327022.0,287.0,770880.0,-233379.0,3.6,23,35 %,2.83 %,161.0 cm (5 ft 3 1⁄2 in),167.3,154.8,0.07471607890017931
Palau,50,14233.0,18094.0,0.48 %,86.0,39.0,460.0,,N.A.,N.A.,N.A.,0.00 %,165.1 cm (5 ft 5 in),170.6,159.5,0.06506447831184053
Palestine,,,,,,,,,,,,,168.2 cm (5 ft 6 in),175.0,161.3,0.07828571428571422
Panama,52,14090.0,4314767.0,1.61 %,68328.0,58.0,74340.0,11200.0,2.5,30,68 %,0.06 %,164.2 cm (5 ft 4 1⁄2 in),170.2,158.2,0.07050528789659224
Papua New Guinea,129,2652.0,8947024.0,1.95 %,170915.0,20.0,452860.0,-800.0,3.6,22,13 %,0.11 %,160.0 cm (5 ft 3 in),163.1,156.9,0.038013488657265414
Paraguay,92,4909.0,7132538.0,1.25 %,87902.0,18.0,397300.0,-16556.0,2.4,26,62 %,0.09 %,166.8 cm (5 ft 5 1⁄2 in),173.8,159.8,0.08055235903337168
Peru,86,5845.0,32971854.0,1.42 %,461401.0,26.0,1280000.0,99069.0,2.3,31,79 %,0.42 %,160.6 cm (5 ft 3 in),166.8,154.4,0.07434052757793767
Philippines,119,3373.0,109581078.0,1.35 %,1464463.0,368.0,298170.0,-67152.0,2.6,26,47 %,1.41 %,159.7 cm (5 ft 3 in),165.2,154.1,0.06719128329297817
Poland,47,15304.0,37846611.0,-0.11 %,-41157.0,124.0,306230.0,-29395.0,1.4,42,60 %,0.49 %,173.2 cm (5 ft 8 in),180.7,165.8,0.08245711123408953
Portugal,37,21608.0,10196709.0,-0.29 %,-29478.0,111.0,91590.0,-6000.0,1.3,46,66 %,0.13 %,167.8 cm (5 ft 6 in),174.4,161.2,0.07568807339449551
Puerto Rico,—,30113.0,2860853.0,-2.47 %,-72555.0,323.0,8870.0,-97986.0,1.2,44,N.A.,0.04 %,171.3 cm (5 ft 7 1⁄2 in),179.5,163.1,0.09136490250696382
Qatar,9,52751.0,2881053.0,1.73 %,48986.0,248.0,11610.0,40000.0,1.9,32,96 %,0.04 %,167.0 cm (5 ft 5 1⁄2 in),173.3,160.7,0.07270628967109072
Republic of the Congo,,,,,,,,,,,,,165.0 cm (5 ft 5 in),171.2,158.8,0.07242990654205594
Romania,54,12813.0,19237691.0,-0.66 %,-126866.0,84.0,230170.0,-73999.0,1.6,43,55 %,0.25 %,171.3 cm (5 ft 7 1⁄2 in),177.8,164.7,0.07367829021372341
Russia,61,9972.0,145934462.0,0.04 %,62206.0,9.0,16376870.0,182456.0,1.8,40,74 %,1.87 %,170.6 cm (5 ft 7 in),176.6,164.5,0.0685164212910532
Rwanda,167,823.0,12952218.0,2.58 %,325268.0,525.0,24670.0,-9000.0,4.1,20,18 %,0.17 %,161.4 cm (5 ft 3 1⁄2 in),166.0,156.7,0.05602409638554224
Réunion,,,895312.0,0.72 %,6385.0,358.0,2500.0,-1256.0,2.3,36,100 %,0.01 %,,,,
Saint Barthelemy,,,9877.0,0.30 %,30.0,470.0,21.0,,N.A.,N.A.,0 %,0.00 %,,,,
Saint Helena,,,6077.0,0.30 %,18.0,16.0,390.0,,N.A.,N.A.,27 %,0.00 %,,,,
Saint Kitts & Nevis,,,53199.0,0.71 %,376.0,205.0,260.0,,N.A.,N.A.,33 %,0.00 %,,,,
Saint Kitts and Nevis,48,15246.0,,,,,,,,,,,168.2 cm (5 ft 6 in),173.7,162.8,0.06275187104202636
Saint Lucia,64,9780.0,183627.0,0.46 %,837.0,301.0,610.0,0.0,1.4,34,19 %,0.00 %,171.0 cm (5 ft 7 1⁄2 in),176.4,165.5,0.06179138321995468
Saint Martin,,,38666.0,1.75 %,664.0,730.0,53.0,,N.A.,N.A.,0 %,0.00 %,,,,
Saint Pierre & Miquelon,,,5794.0,-0.48 %,-28.0,25.0,230.0,,N.A.,N.A.,100 %,0.00 %,,,,
Saint Vincent and the Grenadines,81,7033.0,,,,,,,,,,,171.4 cm (5 ft 7 1⁄2 in),177.5,165.3,0.06873239436619712
Samoa,105,4084.0,198414.0,0.67 %,1317.0,70.0,2830.0,-2803.0,3.9,22,18 %,0.00 %,169.1 cm (5 ft 6 1⁄2 in),174.4,163.8,0.06077981651376144
San Marino,18,41683.0,33931.0,0.21 %,71.0,566.0,60.0,,N.A.,N.A.,97 %,0.00 %,,,,
Sao Tome & Principe,,,219159.0,1.91 %,4103.0,228.0,960.0,-1680.0,4.4,19,74 %,0.00 %,,,,
Saudi Arabia,39,19587.0,34813871.0,1.59 %,545343.0,16.0,2149690.0,134979.0,2.3,32,84 %,0.45 %,164.8 cm (5 ft 5 in),170.7,158.8,0.06971294669009946
Senegal,151,1455.0,16743927.0,2.75 %,447563.0,87.0,192530.0,-20000.0,4.7,19,49 %,0.21 %,170.1 cm (5 ft 7 in),176.2,163.9,0.06980703745743463
Serbia,68,8506.0,8737371.0,-0.40 %,-34864.0,100.0,87460.0,4000.0,1.5,42,56 %,0.11 %,174.5 cm (5 ft 8 1⁄2 in),180.7,168.3,0.06862202545655771
Seychelles,57,12323.0,98347.0,0.62 %,608.0,214.0,460.0,-200.0,2.5,34,56 %,0.00 %,169.2 cm (5 ft 6 1⁄2 in),175.9,162.5,0.07617964752700401
Sierra Leone,179,518.0,7976983.0,2.10 %,163768.0,111.0,72180.0,-4200.0,4.3,19,43 %,0.10 %,161.9 cm (5 ft 3 1⁄2 in),166.4,157.3,0.054687499999999965
Singapore,6,58484.0,5850342.0,0.79 %,46005.0,8358.0,700.0,27028.0,1.2,42,N.A.,0.08 %,167.4 cm (5 ft 6 in),173.5,161.3,0.07031700288184431
Sint Maarten,,,42876.0,1.15 %,488.0,1261.0,34.0,,N.A.,N.A.,96 %,0.00 %,,,,
Slovakia,40,18669.0,5459642.0,0.05 %,2629.0,114.0,48088.0,1485.0,1.5,41,54 %,0.07 %,174.1 cm (5 ft 8 1⁄2 in),181.0,167.1,0.07679558011049727
Slovenia,31,25039.0,2078938.0,0.01 %,284.0,103.0,20140.0,2000.0,1.6,45,55 %,0.03 %,174.1 cm (5 ft 8 1⁄2 in),181.0,167.2,0.076243093922652
Solomon Islands,132,2367.0,686884.0,2.55 %,17061.0,25.0,27990.0,-1600.0,4.4,20,23 %,0.01 %,159.9 cm (5 ft 3 in),163.1,156.8,0.038626609442059985
Somalia,,,15893222.0,2.92 %,450317.0,25.0,627340.0,-40000.0,6.1,17,47 %,0.20 %,165.5 cm (5 ft 5 in),171.2,159.9,0.06600467289719616
South Africa,94,4736.0,59308690.0,1.28 %,750420.0,49.0,1213090.0,145405.0,2.4,28,67 %,0.76 %,164.1 cm (5 ft 4 1⁄2 in),169.6,158.6,0.06485849056603774
South Korea,26,30644.0,51269185.0,0.09 %,43877.0,527.0,97230.0,11731.0,1.1,44,82 %,0.66 %,169.4 cm (5 ft 6 1⁄2 in),175.5,163.2,0.07008547008547016
South Sudan,186,303.0,11193725.0,1.19 %,131612.0,18.0,610952.0,-174200.0,4.7,19,25 %,0.14 %,,,,
Spain,29,26832.0,46754778.0,0.04 %,18002.0,94.0,498800.0,40000.0,1.3,45,80 %,0.60 %,169.1 cm (5 ft 6 1⁄2 in),176.1,162.0,0.08006814310051104
Sri Lanka,113,3698.0,21413249.0,0.42 %,89516.0,341.0,62710.0,-97986.0,2.2,34,18 %,0.27 %,162.0 cm (5 ft 4 in),168.1,155.9,0.07257584770969655
St. Vincent & Grenadines,,,110940.0,0.32 %,351.0,284.0,390.0,-200.0,1.9,33,53 %,0.00 %,,,,
State of Palestine,,,5101414.0,2.41 %,119994.0,847.0,6020.0,-10563.0,3.7,21,80 %,0.07 %,,,,
Sudan,171,735.0,43849260.0,2.42 %,1036022.0,25.0,1765048.0,-50000.0,4.4,20,35 %,0.56 %,166.2 cm (5 ft 5 1⁄2 in),172.1,160.4,0.06798373038930848
Suriname,101,4199.0,586632.0,0.90 %,5260.0,4.0,156000.0,-1000.0,2.4,29,65 %,0.01 %,168.4 cm (5 ft 6 1⁄2 in),174.5,162.3,0.06991404011461312
Sweden,12,50339.0,10099265.0,0.63 %,62886.0,25.0,410340.0,40000.0,1.9,41,88 %,0.13 %,173.6 cm (5 ft 8 1⁄2 in),180.5,166.7,0.07645429362880893
Switzerland,2,81867.0,8654622.0,0.74 %,63257.0,219.0,39516.0,52000.0,1.5,43,74 %,0.11 %,171.5 cm (5 ft 7 1⁄2 in),178.7,164.3,0.08058198097369881
Syria,137,2114.0,17500658.0,2.52 %,430523.0,95.0,183630.0,-427391.0,2.8,26,60 %,0.22 %,165.5 cm (5 ft 5 in),171.6,159.4,0.07109557109557103
São Tomé and Príncipe,140,1912.0,,,,,,,,,,,165.1 cm (5 ft 5 in),170.4,159.8,0.06220657276995302
Taiwan,—,26910.0,23816775.0,0.18 %,42899.0,673.0,35410.0,30001.0,1.2,42,79 %,0.31 %,167.1 cm (5 ft 6 in),173.5,160.7,0.07377521613832859
Tajikistan,166,834.0,9537645.0,2.32 %,216627.0,68.0,139960.0,-20000.0,3.6,22,27 %,0.12 %,163.3 cm (5 ft 4 1⁄2 in),168.4,158.1,0.06116389548693593
Tanzania,158,1106.0,59734218.0,2.98 %,1728755.0,67.0,885800.0,-40076.0,4.9,18,37 %,0.77 %,161.9 cm (5 ft 3 1⁄2 in),167.0,156.9,0.06047904191616763
Thailand,77,7295.0,69799978.0,0.25 %,174396.0,137.0,510890.0,19444.0,1.5,40,51 %,0.90 %,165.5 cm (5 ft 5 in),171.6,159.4,0.07109557109557103
Timor-Leste,,,1318445.0,1.96 %,25326.0,89.0,14870.0,-5385.0,4.1,21,33 %,0.02 %,156.4 cm (5 ft 1 1⁄2 in),160.1,152.7,0.04622111180512184
Togo,173,690.0,8278724.0,2.43 %,196358.0,152.0,54390.0,-2000.0,4.4,19,43 %,0.11 %,164.6 cm (5 ft 5 in),170.1,159.1,0.06466784244562022
Tokelau,,,1357.0,1.27 %,17.0,136.0,10.0,,N.A.,N.A.,0 %,0.00 %,,,,
Tokelau (NZ),,,,,,,,,,,,,171.1 cm (5 ft 7 1⁄2 in),176.1,166.1,0.05678591709256105
Tonga,91,5023.0,105695.0,1.15 %,1201.0,147.0,720.0,-800.0,3.6,22,24 %,0.00 %,170.6 cm (5 ft 7 in),175.1,166.1,0.05139920045688178
Trinidad and Tobago,43,16197.0,1399488.0,0.32 %,4515.0,273.0,5130.0,-800.0,1.7,36,52 %,0.02 %,169.7 cm (5 ft 7 in),176.0,163.4,0.07159090909090905
Tunisia,123,3295.0,11818619.0,1.06 %,123900.0,76.0,155360.0,-4000.0,2.2,33,70 %,0.15 %,169.3 cm (5 ft 6 1⁄2 in),176.9,161.7,0.08592425098925956
Turkey,73,7715.0,84339067.0,1.09 %,909452.0,110.0,769630.0,283922.0,2.1,32,76 %,1.08 %,169.1 cm (5 ft 6 1⁄2 in),176.4,161.8,0.08276643990929702
Turkmenistan,75,7507.0,6031200.0,1.50 %,89111.0,13.0,469930.0,-5000.0,2.8,27,53 %,0.08 %,168.6 cm (5 ft 6 1⁄2 in),174.4,162.8,0.06651376146788987
Turks and Caicos,,,38717.0,1.38 %,526.0,41.0,950.0,,N.A.,N.A.,89 %,0.00 %,,,,
Tuvalu,104,4091.0,11792.0,1.25 %,146.0,393.0,30.0,,N.A.,N.A.,62 %,0.00 %,167.4 cm (5 ft 6 in),171.3,163.6,0.044950379451255205
U.S. Virgin Islands,,,104425.0,-0.15 %,-153.0,298.0,350.0,-451.0,2.0,43,96 %,0.00 %,,,,
Uganda,164,915.0,45741007.0,3.32 %,1471413.0,229.0,199810.0,168694.0,5.0,17,26 %,0.59 %,163.6 cm (5 ft 4 1⁄2 in),168.7,158.5,0.06046235921754588
Ukraine,117,3425.0,43733762.0,-0.59 %,-259876.0,75.0,579320.0,10000.0,1.4,41,69 %,0.56 %,173.8 cm (5 ft 8 1⁄2 in),181.0,166.6,0.07955801104972379
United Arab Emirates,24,31948.0,9890402.0,1.23 %,119873.0,118.0,83600.0,40000.0,1.4,33,86 %,0.13 %,167.3 cm (5 ft 6 in),174.1,160.5,0.07811602527283168
United Kingdom,21,39229.0,67886011.0,0.53 %,355839.0,281.0,241930.0,260650.0,1.8,40,83 %,0.87 %,171.1 cm (5 ft 7 1⁄2 in),178.2,163.9,0.08024691358024683
United States,5,63051.0,331002651.0,0.59 %,1937734.0,36.0,9147420.0,954806.0,1.8,38,83 %,4.25 %,170.1 cm (5 ft 7 in),176.9,163.3,0.07687959299039002
Uruguay,46,15332.0,3473730.0,0.35 %,11996.0,20.0,175020.0,-3000.0,2.0,36,96 %,0.04 %,167.9 cm (5 ft 6 in),174.3,161.6,0.07286288009179585
Uzbekistan,145,1763.0,33469203.0,1.48 %,487487.0,79.0,425400.0,-8863.0,2.4,28,50 %,0.43 %,165.6 cm (5 ft 5 in),170.9,160.3,0.062024575775307164
Vanuatu,127,2879.0,307145.0,2.42 %,7263.0,25.0,12190.0,120.0,3.8,21,24 %,0.00 %,164.4 cm (5 ft 4 1⁄2 in),168.3,160.5,0.04634581105169347
Venezuela,146,1739.0,28435940.0,-0.28 %,-79889.0,32.0,882050.0,-653249.0,2.3,30,N.A.,0.36 %,166.8 cm (5 ft 5 1⁄2 in),173.5,160.0,0.07780979827089338
Vietnam,115,3498.0,97338579.0,0.91 %,876473.0,314.0,310070.0,-80000.0,2.1,32,38 %,1.25 %,163.7 cm (5 ft 4 1⁄2 in),168.9,158.4,0.06216696269982238
Wallis & Futuna,,,11239.0,-1.69 %,-193.0,80.0,140.0,,N.A.,N.A.,0 %,0.00 %,,,,
Western Sahara,,,597339.0,2.55 %,14876.0,2.0,266000.0,5582.0,2.4,28,87 %,0.01 %,,,,
Yemen,175,645.0,29825964.0,2.28 %,664042.0,56.0,527970.0,-30000.0,3.8,20,38 %,0.38 %,159.6 cm (5 ft 3 in),164.4,154.8,0.05839416058394157
Zambia,160,1001.0,18383955.0,2.93 %,522925.0,25.0,743390.0,-8000.0,4.7,18,45 %,0.24 %,162.5 cm (5 ft 4 in),167.6,157.3,0.06145584725536983
Zimbabwe,163,922.0,14862924.0,1.48 %,217456.0,38.0,386850.0,-116858.0,3.6,19,38 %,0.19 %,165.3 cm (5 ft 5 in),170.7,159.8,0.06385471587580538
